Compound,Time_hr,Mean,SD,N,SEM,CI95_lower,CI95_upper
Compound_A,0.0,-0.2787,1.3743,3,0.7935,-1.8338,1.2765
Compound_A,0.5,1.277,0.7716,3,0.4455,0.4039,2.1501
Compound_A,1.0,1.8333,1.0417,3,0.6014,0.6546,3.0121
Compound_A,2.0,3.54,0.6152,3,0.3552,2.8438,4.2362
Compound_A,4.0,6.349,0.2737,3,0.158,6.0393,6.6587
Compound_A,8.0,11.643,0.5953,3,0.3437,10.9693,12.3167
Compound_A,12.0,13.6943,1.7458,3,1.008,11.7188,15.6699
Compound_A,24.0,18.3767,0.2974,3,0.1717,18.0401,18.7132
Compound_A,48.0,19.4823,0.1698,3,0.098,19.2902,19.6745
Compound_A,72.0,20.15,0.585,3,0.3377,19.4881,20.8119
Compound_B,0.0,0.1373,0.6439,3,0.3718,-0.5913,0.866
Compound_B,0.5,0.6577,0.7196,3,0.4155,-0.1567,1.472
Compound_B,1.0,1.188,0.575,3,0.332,0.5373,1.8387
Compound_B,2.0,2.2697,0.5702,3,0.3292,1.6244,2.9149
Compound_B,4.0,3.5597,0.463,3,0.2673,3.0358,4.0836
Compound_B,8.0,7.0487,0.5562,3,0.3211,6.4193,7.6781
Compound_B,12.0,9.5947,0.5182,3,0.2992,9.0083,10.1811
Compound_B,24.0,14.1617,0.402,3,0.2321,13.7067,14.6166
Compound_B,48.0,18.3357,0.2967,3,0.1713,17.9999,18.6715
Compound_B,72.0,19.525,1.3894,3,0.8022,17.9527,21.0973
Vehicle,0.0,0.196,1.0212,3,0.5896,-0.9596,1.3516
Vehicle,0.5,0.3307,0.295,3,0.1703,-0.0032,0.6645
Vehicle,1.0,-0.3997,0.4085,3,0.2359,-0.862,0.0626
Vehicle,2.0,0.0007,0.7273,3,0.4199,-0.8223,0.8237
Vehicle,4.0,-0.126,0.4066,3,0.2348,-0.5862,0.3342
Vehicle,8.0,-0.089,0.4928,3,0.2845,-0.6466,0.4686
Vehicle,12.0,-0.199,0.3337,3,0.1927,-0.5767,0.1787
Vehicle,24.0,-0.953,0.3277,3,0.1892,-1.3239,-0.5821
Vehicle,48.0,0.4193,0.6914,3,0.3992,-0.3631,1.2017
Vehicle,72.0,0.181,0.441,3,0.2546,-0.318,0.68
